,population,density_per_sq_km,slum_share,dry_pipe_hours,historical_deficit,demand_liters,complaint_count,depot_distance_km
population,1.0,-0.146,0.632,0.651,0.661,0.725,0.347,-0.692
density_per_sq_km,-0.146,1.0,0.186,0.062,0.06,0.088,-0.047,0.476
slum_share,0.632,0.186,1.0,0.926,0.924,0.931,0.161,-0.385
dry_pipe_hours,0.651,0.062,0.926,1.0,0.999,0.946,-0.028,-0.519
historical_deficit,0.661,0.06,0.924,0.999,1.0,0.943,-0.03,-0.526
demand_liters,0.725,0.088,0.931,0.946,0.943,1.0,0.194,-0.486
complaint_count,0.347,-0.047,0.161,-0.028,-0.03,0.194,1.0,-0.15
depot_distance_km,-0.692,0.476,-0.385,-0.519,-0.526,-0.486,-0.15,1.0
